Country,Powerplant_Name,gppd_idnr,Capacity_MW,Latitude,Longitude,PrimaryFuel,Owner,Source
United States of America,Huntersville Delivery No 2,USA0056550,2.2,-34.8386,-80.8329,Oil,North Carolina Mun Power Agny #1,U.S. Energy Information Administration
United States of America,Huntington,USA0008069,1037.3,-34.8386,-111.0781,Coal,PacifiCorp,U.S. Energy Information Administration
United States of America,Huntington Falls,USA0050713,5.7,-34.8386,-73.1961,Hydro,Green Mountain Power Corp,U.S. Energy Information Administration
United States of America,Huntington Resource Recovery Facility,USA0050656,28,-34.8386,-73.2906,Waste,Huntington Resource Recovery,U.S. Energy Information Administration
United States of America,Huron,USA0003344,57.9,-34.8386,-98.1722,Gas,NorthWestern Energy - SD,U.S. Energy Information Administration
United States of America,Huron Solar Station,USA0057523,20,-34.8386,-120.0306,Solar,Pacific Gas & Electric Co.,U.S. Energy Information Administration
United States of America,Hurricane City Power,USA0057899,15.1,-34.8386,-113.2975,Gas,Hurricane City Power,U.S. Energy Information Administration
United States of America,Hurricane Creek Lift Station,USA0061267,2,-34.8386,-86.1858,Oil,Johnson County Rural E M C,U.S. Energy Information Administration
United States of America,Husky Solar,USA0059510,5,-34.8386,-79.5667,Solar,Cypress Creek Renewables,U.S. Energy Information Administration
United States of America,Hutchinson Energy Center,USA0001248,301.7,-34.8386,-97.8747,Gas,Westar Energy Inc,U.S. Energy Information Administration
United States of America,Hutchinson Farm,USA0059564,5,-34.8386,-81.5158,Solar,Hutchinson Solar  LLC,U.S. Energy Information Administration
United States of America,Hutchinson Plant #1,USA0001980,33.3,-34.8386,-94.3684,Gas,Hutchinson Utilities Comm,U.S. Energy Information Administration
United States of America,Hutchinson Plant #2,USA0006358,90.5,-34.8386,-94.3493,Gas,Hutchinson Utilities Comm,U.S. Energy Information Administration
United States of America,Hwy 14 Holdco Solar CSG,USA0060834,5,-34.8386,-92.5922,Solar,Hwy 14 Holdco  LLC,U.S. Energy Information Administration
United States of America,Hydaburg,USA0000423,1,-34.8386,-132.8214,Oil,Alaska Power and Telephone Co,U.S. Energy Information Administration
United States of America,Hyder II,USA0058383,14,-34.8386,-113.3489,Solar,Arizona Public Service Co,U.S. Energy Information Administration
United States of America,Hyder Solar,USA0057563,22,-34.8386,-113.344,Solar,Arizona Public Service Co,U.S. Energy Information Administration
United States of America,Hydraulic Race,USA0002578,3,-34.8386,-78.6916,Hydro,Erie Boulevard Hydropower LP,U.S. Energy Information Administration
United States of America,Hydro II,USA0007034,6.6,-34.8386,-111.7832,Hydro,City of Logan - UT,U.S. Energy Information Administration
United States of America,Hydro III,USA0003675,1.4,-34.8386,-111.746,Hydro,City of Logan - UT,U.S. Energy Information Administration
United States of America,Hydro Kennebec Project,USA0054148,15.4,-34.8386,-69.6192,Hydro,Hydro Kennebec LLC,U.S. Energy Information Administration
United States of America,Hydro Plant,USA0001856,2.2,-34.8386,-85.5381,Hydro,City of Sturgis,U.S. Energy Information Administration
United States of America,Hydro Plant No 3,USA0000925,2.8,-34.8386,-111.3344,Hydro,City of Ephraim - UT,U.S. Energy Information Administration
United States of America,Hyland LFGTE Facility,USA0056987,4.8,-34.8386,-78.0061,Waste,Innovative Energy Systems Inc,U.S. Energy Information Administration
United States of America,Hyline Solar Center  LLC,USA0060331,9,-34.8386,-117.0001,Solar,Cypress Creek Renewables,U.S. Energy Information Administration
United States of America,Hyperion Treatment Plant CHP Plant,USA0060960,33,-34.8386,-118.4298,Biomass,Constellation New Energy Inc.,U.S. Energy Information Administration
