Teacher_Name,University_Currently_Teaching,Department,Province_University_Located,Designation,Terminal_Degree,Graduated_from,Country,Year,Area_of_Specialization,Other_Information,
Shahroz Nadeem,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,2014,SINF,NINGUNA,NINGUNA
Shoaib Saleem Khatak,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,2012,SINF,NINGUNA,NINGUNA
Professor Dr. Muhammad Sher ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Professor,PhD,TU Berlin,germany,0,Next Generation Networks and Security,NINGUNA,NINGUNA
Dr. Ayyaz Hussain,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Associate Professor/Chairman,PhD,"FAST‚Äì National University of Computer and Emerging Sciences,Islamabad",Pakistan,0,Image Processing   Pattern Recognition   Machine Learning and Data Mining   Computational Intelligence Techniques,NINGUNA,NINGUNA
 Dr. Ali Daud ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Associate Professor,PhD,Tsinghua University,China,2010,Text Mining  Information Retrieval   Information Extraction   Social Network Analysis   Machine Learning   Graphical Models   Topic Models,NINGUNA,NINGUNA
Dr. Husnain Abbas Naqvi ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,PhD,The University of Auckland,New Zealand,0,Professional Software Development and Analysis   Statistical Software Engineering   Stochastic Process   Sensor Networks   Collaborative Communications and Information Security,NINGUNA,NINGUNA
Dr. Muhammad Adeel,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,PhD,"International Islamic University,Islamabad",Pakistan,0,Network Routing Algorithms,NINGUNA,NINGUNA
Dr. Jamal Abdul Nasir,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,PhD,Lahore University of Management Sciences,Pakistan,0,Natural Language Processing   Text MiningA†,NINGUNA,NINGUNA
Mr. Asim Munir,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,0,Digital Image Processing And Computer Vision,PhD in progress,
Mr. M. Imran Saeed,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,0,Database Designing and Database   Data Mining   Datawarehousing,PhD in progress,
Mr. Muhammad Nadeem,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,0,Digital Image Processing and Computer Vision   Computer Graphics,PhD in progress,
Mr. Shahbaz Ahmed Khan Ghayyur,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,0,SW Engineering,PhD in progress,
Mr. Imran Khan,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,0,SINF,PhD in progress,
Mr. Sameer Akram,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MSc,"International Islamic University,Islamabad",Pakistan,0,Computer Networks   OS   Computer Architecture,MS in progress,
Mr. Iftikhar Ali Khan,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,0,Data Warehousing (ETL),NINGUNA,NINGUNA
Dr. Mahmood Niazi,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Professor,PhD,University of Technology,Australia,0,SINF,NINGUNA,NINGUNA
Dr. Tehmina Amjad,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor/Acting Chairperson,PhD,"International Islamic University,Islamabad",Pakistan,0,Information Retrieval   Data Mining   Social Network Analysis   Probabilistic Topic Models   Machine Learning   Data Grids,NINGUNA,NINGUNA
Ms. Salma Imtiaz,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,0,Requirement Engineering   Global Software Development   Project Management.,PhD in progress,
Ms. Zakia Jalil,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,0,SINF,PhD in progress,
Ms. Sadia Arshid,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,0,SINF,NINGUNA,NINGUNA
Ms. Shaista Rasheed ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,Lahore University of Management Sciences,Pakistan,2005,SINF,NINGUNA,NINGUNA
Ms. Saima Imtiaz,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,Mohammad Ali Jinnah University,Pakistan,0,SINF,NINGUNA,NINGUNA
Ms. Aasma Sajjad,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,0,Image Processing,NINGUNA,NINGUNA
MUHAMAMD NAVEED ALAM,National University of Modern Languages,Computer Science,Capital,Head of Department,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,2005,Data Mining   Bioinformatics,NINGUNA,NINGUNA
MOHAMMAD RAZA PERWEZ,National University of Modern Languages,Computer Science,Capital,Assistant Professor,MS,IQRA University,Pakistan,2010,Communication   Networks  Databases,NINGUNA,NINGUNA
SAJJAD HAIDER,National University of Modern Languages,Computer Science,Capital,Assistant Professor,PhD,Universiti Teknologi PETRONAS,Malaysia,2012,Indoor Positioning Systems   Mobility management  Handover in Wireless Communication.,NINGUNA,NINGUNA
KH.MOYEEZULLAH GHORI,National University of Modern Languages,Computer Science,Capital,Assistant Professor,MS,"FAST‚Äì National University of Computer and Emerging Sciences,Islamabad",Pakistan,2004,Databases   Data Warehousing    Artificial Intelligence  Data structures   Algorithms,NINGUNA,NINGUNA
ATA ULLAH GHAFOOR,National University of Modern Languages,Computer Science,Capital,Assistant Professor,MS,"COMSATS Institute of Information Technology,Islamabad",Pakistan,2007,Wireless Sensor Networks Security   Mobile Application Development   VoIP   Cloud Computing   Next Generation Networks   IMS   VOLTE ,PhD in progress from IIU,
DR NOMAN MALIK,National University of Modern Languages,Computer Science,Capital,Assistant Professor,PhD,"Razak School of Engineering and Advanced Technology, Universiti Teknologi Malaysia (UTM)",Malaysia,2015,"Human Computer Interaction (HCI)   Knowledge Management    Software Project Management   Management Information System (MIS)

",NINGUNA,NINGUNA
FOUZIA JAMAL GOREJA,National University of Modern Languages,Computer Science,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,2015,Language Teaching   Applied linguistics (Language teaching) and Literature.,NINGUNA,NINGUNA
ABDUL KALEEM,National University of Modern Languages,Computer Science,Capital,Lecturer,BS,National University of Modern Languages,Pakistan,2005,Artificial Intelligence   Programming   algorithms  Data warehousing  Databases,NINGUNA,NINGUNA
RANA ABDUL SAMI KHAN,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,University of Engineering and Technology,Pakistan,2009,Language Definition   Translators   Data Structures   Algorithms   Programming,NINGUNA,NINGUNA
SARAH MAZHAR,National University of Modern Languages,Computer Science,Capital,Lecturer,MCS,University Institute of Information Technology,Pakistan,2006,SINF,NINGUNA,NINGUNA
MUHAMMAD EHSAN UL HAQ,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,IQRA University,Pakistan,2009,Computer Networks   Communication   Operating System,NINGUNA,NINGUNA
SAJIDA NAVEED,National University of Modern Languages,Computer Science,Capital,Lecturer,MA,National University of Modern Languages,Pakistan,2003,SINF,NINGUNA,NINGUNA
SAJID MUNIR,National University of Modern Languages,Computer Science,Capital,Lecturer,MCS,University of Arid Agriculture,Pakistan,2007,Web Application Development   Databases   Programming,NINGUNA,NINGUNA
ZAINAB MALIK,National University of Modern Languages,Computer Science,Capital,Lecturer,Mphil,Quaid-i-Azam University,Pakistan,2013,Wireless Multihop Networks   Bandwidth Estimation and Reservation  IEEE 802.11 and IEEE 802.11e,NINGUNA,NINGUNA
UNSA MASOOD SATTI,National University of Modern Languages,Computer Science,Capital,Lecturer,MPhil,Quaid-i-Azam University,Pakistan,2013,Wireless Multihop Networks   Bandwidth Estimation and Reservation  IEEE 802.11 and IEEE 802.11e,NINGUNA,NINGUNA
SOHAIL AHMED DAYO,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,National University of Sciences and Technology,Pakistan,2013,SINF,NINGUNA,NINGUNA
SHAMAILA QAYYUM,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,2012,Software Engineering   Successfailure of ERP implementation   Usability   Requirements Prioritization ,PhD in progress,
ASIM REHAN,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,"FAST‚Äì National University of Computer and Emerging Sciences,Islamabad",Pakistan,2015,Machine Learning   Data Mining   Evolutionary Algorithms   Artificial Intelligence ,NINGUNA,NINGUNA
ADEEL AHMED,National University of Modern Languages,Computer Science,Capital,Lecturer,MPhil,Quaid-i-Azam University,Pakistan,2011,Large Scale Schema Matching and Integration   Machine Learning   Pattern Recognition   Social Network Analysis   Information Retrieval Systems (Recommender Systems)  Semantic Web   Software Re-engineering   Bioinformatics  ,NINGUNA,NINGUNA
Fahad Tahir,Air University,Computer Science,Capital,Assistant Professor,PhD,Queen Mary University of London,UK,0,Computer Vision   Data Analysis    Pattern Matching   Video Surveillance   Object Tracking and Re-Identification,NINGUNA,NINGUNA
Sheikh Muhammad Qasim,Air University,Computer Science,Capital,Professor,PhD,University of Illinois,Urbana,0,SINF,NINGUNA,NINGUNA
Mehdi Hassan,Air University,Computer Science,Capital,Assistant Professor,PhD,Pakistan Institute of Engineering and Applied Sciences,Pakistan,0,Biomedical Image Processing and Analysis   Pattern Recognition   Machine Learning,NINGUNA,NINGUNA
Ahmad Jalal,Air University,Computer Science,Capital,Assistant Professor,Post Doc,Pohang University of Science and Technology,SouthKorea,0,Multimedia design and system   Human computer interaction   Computer Vision   Artificial Intelligence   Image processing   Computer Graphics,NINGUNA,NINGUNA
Omer Ishaq Hassan,Air University,Computer Science,Capital,Assistant Professor,PhD,Uppsala University,Sweden,0,Image analysis   Deep learning,NINGUNA,NINGUNA
Aamer Hanif,Air University,Computer Science,Capital,Assistant Professor,MS,"FAST‚Äì National University of Computer and Emerging Sciences,Islamabad",Pakistan,0,Data Mining   Quality Management   Project Management,NINGUNA,NINGUNA
Imran Ihsan,Air University,Computer Science,Capital,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,0,Semantic Web   Ontology Engineering   Data Sciences,PhD in progress from Capital University of Science & Technology,
Atta ur Rehman Khan,Air University,Computer Science,Capital,Associate Professor,PhD,University of Malaya,Malaysia,0,Cybersecurity   Mobile Cloud Computing   and IoT,NINGUNA,NINGUNA
Muhammad Shafi,Air University,Computer Science,Capital,Associate Professor,PhD,Loughborough University,UK,0,Computer Vision,NINGUNA,NINGUNA
Shaharyar Kamal,Air University,Computer Science,Capital,Assistant Professor,PhD,Kyung Hee University,SouthKorea,0,Wireless Networks and Security   5G and Internet of Things.,NINGUNA,NINGUNA
Farah Haneef,Air University,Computer Science,Capital,Lecturer,Mphil,Quaid-i-Azam University,Pakistan,0,Social Networks Analysis   Software Testing   Algorithm Design and Development.,"PhD in progress from  Quaid-e-Azam University, Islamabad 
",
Mehwish Shaffiq,Air University,Computer Science,Capital,Lecturer,MSc,University of Liverpool,UK,0,Software Engineering Web Technologies,NINGUNA,NINGUNA
Faisal Fayyaz,Air University,Computer Science,Capital,Lecturer,MS,University of Sunderland,UK,0,Software Engineering,NINGUNA,NINGUNA
Asif Jamal,Air University,Computer Science,Capital,Lecturer,MS,Mid Sweden University,Sweden,0,Wireless Sensors   Cluster   Cloud Computing   Programming.,NINGUNA,NINGUNA
Syed Atif Muqurrab,Air University,Computer Science,Capital,Lecturer,MS,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,0,Data Privacy   Artificial Intelligence   Digital Marketing   Web Development,PhD in progress from COMSATS,
Sidra Siddiqui,Air University,Computer Science,Capital,Lecturer,MS,"Bahria University,Islamabad",Pakistan,0,SINF,NINGUNA,NINGUNA
Sajid Riaz,Air University,Computer Science,Capital,Lecturer,MS,Lahore University of Management Sciences,Pakistan,0,SINF,NINGUNA,NINGUNA
Dr. Faisal Bashir,"Bahria University,Islamabad",Computer Science,Capital,Head of Department,Post Doc,Chosun University,SouthKorea,2013,Ad hoc Networks   Wireless Sensor Networks   Wireless Personal Area Networks and Wireless Body Area Networks,NINGUNA,NINGUNA
Dr Muhammad Ramzan¬†,"Bahria University,Islamabad",Computer Science,Capital,Professor,PhD,Quaid-i-Azam University,Pakistan,2010,  Wave MechanicsFluid Mechanics,NINGUNA,NINGUNA
Mr. Rashid Karim,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,MSc,University of Sussex,UK,1991,Formal Languages    Compiler Design   Quality in Education,NINGUNA,NINGUNA
Dr. Imran Ahmed Siddqui,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,Paris Descartes University,France,2009,SINF,NINGUNA,NINGUNA
Dr. Muhammad Muzammal,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,University of Leicester,UK,2012,Data Science   e-Learning   Software Engineering   AugmentedVirtual Reality,NINGUNA,NINGUNA
Dr. Shagufta Henna,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,University of Leicester,UK,2013,Mobile Ad hoc Networks   Wireless Sensor Networks (WSNs)   Wireless Body Area Networks   Coverage in WSNs   Software Defined Networking   Massive Machine Type Access in Future Generation Networks   Low Power Wide Area Networks (LPWAN)   Adaptive Data Rate in LPWAN   Approximation Algorithms   and NP-hard problems in Wireless Sensor Networks   Wireless Chargeable Sensor Networks,NINGUNA,NINGUNA
Dr. Sumaira Kausar,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,National University of Sciences and Technology,Pakistan,2014,Pattern recognition   image analysis  A†machine learning.,NINGUNA,NINGUNA
Dr.¬†Samabia Tahsin,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,National University of Sciences and Technology,Pakistan,2014,Digital Image Processing   Document Analysis   Computer Vision,NINGUNA,NINGUNA
Dr.Arif ur Rehman,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,University of Porto,Portugal,2013,Digital Preservation   Database Preservation   Information Retrieval   Information Systems,NINGUNA,NINGUNA
Dr. Muhammad Asfand-e-yar,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,Vienna University of Technology,Austria,2011,Semantic Web Technology   Smart Technologies   Digital Right Management Systems,NINGUNA,NINGUNA
Ms. Saima Jawad¬†,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,MS,University of Manchester,UK,1995,Learning Systems  Quality in Higher Education,NINGUNA,NINGUNA
Dr. Sabina Akhtar,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,PhD,"Universit√© Henri Poincar√©, Nancy 1,",France,2012,Distributed Algorithms   Formal Methods   Model Checking,NINGUNA,NINGUNA
